40,minimumMountainRemovals,[36;]
40,nums,[38;]
3,nums,[38;40;]
4,n,[3;]
6,n,[3;]
7,i,[6;]
7,left,[4;]
9,i,[6;]
10,610998173[0],[38;]
10,i,[6;]
10,610998173[1],[38;]
10,nums,[38;40;]
10,j,[9;]
11,i,[6;]
11,left,[4;7;]
11,1104106489[3],[7;]
11,j,[9;]
16,n,[3;]
18,n,[3;]
19,right,[16;]
19,n,[3;]
19,i,[18;]
21,n,[3;]
21,i,[18;]
22,j,[21;]
22,nums,[38;40;]
22,610998173[6],[38;]
22,610998173[7],[38;]
22,i,[18;]
23,728890494[6],[19;]
23,j,[21;]
23,right,[16;19;]
23,i,[18;]
29,n,[3;]
30,left,[4;7;]
30,i,[29;]
30,answer,[28;]
30,right,[16;19;]
30,1104106489[1],[7;]
30,728890494[1],[19;]
33,answer,[30;]
42,result,[40;]
