50,largest1BorderedSquare,[43;]
50,grid,[44;]
3,grid,[50;44;]
4,445884362[0],[44;]
4,grid,[50;44;]
5,n,[3;]
5,m,[4;]
6,n,[3;]
6,m,[4;]
7,n,[3;]
8,m,[4;]
9,j,[8;]
9,i,[7;]
9,445884362[0],[44;]
9,grid,[50;44;]
9,999661724[0],[44;]
11,j,[8;]
11,i,[7;]
11,hl,[5;]
12,j,[8;]
12,i,[7;]
12,vl,[6;]
13,m,[4;]
13,j,[8;]
14,k,[13;]
14,i,[7;]
14,445884362[0],[44;]
14,grid,[50;44;]
14,999661724[1],[44;]
16,k,[13;]
16,j,[8;]
16,i,[7;]
16,hl,[5;]
18,k,[13;]
18,n,[3;]
18,i,[7;]
19,445884362[1],[44;]
19,k,[18;]
19,721748895[0],[44;]
19,j,[8;]
19,grid,[50;44;]
21,k,[18;]
21,j,[8;]
21,i,[7;]
21,vl,[6;]
26,n,[3;]
27,m,[4;]
28,a,[26;]
28,445884362[0],[44;]
28,grid,[50;44;]
28,b,[27;]
28,999661724[0],[44;]
30,ans,[25;]
31,a,[26;]
31,n,[3;]
31,m,[4;]
31,b,[27;]
32,a,[26;]
32,c,[31;]
32,1285044316[1],[16;]
32,245565335[0],[21;]
32,hl,[5;]
32,vl,[6;]
32,b,[27;]
34,a,[26;]
34,c,[31;]
34,hl,[5;]
34,b,[27;]
35,ans,[30;]
35,c,[31;]
40,ans,[30;]
52,result,[50;]
