45,N,[44;]
45,findBlackPixel,[37;]
45,picture,[38;]
5,picture,[38;45;]
6,picture,[45;]
6,1212899836[0],[38;]
7,m,[5;]
8,m,[5;]
8,picture,[38;45;]
8,1212899836[0],[38;]
8,rowStrings,[7;]
8,1212899836[1],[38;]
8,1212899836[2],[38;]
8,1212899836[3],[38;]
9,m,[5;]
10,n,[6;]
11,col,[10;]
11,n,[6;]
12,m,[5;]
12,i,[11;]
13,n,[6;]
14,picture,[38;45;]
14,i,[12;]
14,997608398[0],[38;]
14,1212899836[0],[38;]
14,j,[13;]
15,row,[9;]
15,i,[12;]
16,110718392[1],[11;]
16,col,[10;]
16,i,[12;]
16,j,[13;]
21,m,[5;]
22,n,[6;]
23,picture,[45;]
23,997608398[0],[38;]
23,1212899836[0],[38;]
23,i,[21;]
23,j,[22;]
25,110718392[1],[16;11;]
25,col,[10;]
25,j,[22;]
26,id,[25;]
26,rowStrings,[7;8;]
26,i,[21;]
26,245565335[0],[8;]
30,able,[24;]
30,cnt,[20;]
34,cnt,[30;]
46,result,[45;]
